route,date,daytype,rides,day,WD_WE_LW
4,06/18/2013,W,23755,Tuesday,WD
3,06/19/2013,W,21945,Wednesday,WD
4,06/19/2013,W,24656,Wednesday,WD
3,06/20/2013,W,22119,Thursday,WD
4,06/20/2013,W,23882,Thursday,WD
3,06/21/2013,W,20317,Friday,WD
4,06/21/2013,W,22603,Friday,WD
3,06/22/2013,A,16692,Saturday,WE
4,06/22/2013,A,17254,Saturday,WE
3,06/23/2013,U,11237,Sunday,WE
4,06/23/2013,U,13911,Sunday,WE
3,06/24/2013,W,21177,Monday,WD
4,06/24/2013,W,21936,Monday,WD
3,06/25/2013,W,20290,Tuesday,WD
4,06/25/2013,W,21943,Tuesday,WD
3,06/26/2013,W,18972,Wednesday,WD
4,06/26/2013,W,21169,Wednesday,WD
3,06/27/2013,W,20620,Thursday,WD
4,06/27/2013,W,22491,Thursday,WD
3,06/28/2013,W,19644,Friday,WD
4,06/28/2013,W,20402,Friday,WD
3,06/29/2013,A,16294,Saturday,WE
4,06/29/2013,A,15444,Saturday,WE
3,06/30/2013,U,9899,Sunday,WE
4,06/30/2013,U,13403,Sunday,WE
3,07/01/2013,W,22689,Monday,WD
4,07/01/2013,W,24266,Monday,WD
3,07/02/2013,W,21039,Tuesday,WD
4,07/02/2013,W,22787,Tuesday,WD
3,07/03/2013,W,21557,Wednesday,WD
4,07/03/2013,W,23725,Wednesday,WD
3,07/04/2013,U,12367,Thursday,WE
4,07/04/2013,U,12669,Thursday,WE
3,07/05/2013,W,19107,Friday,WD
4,07/05/2013,W,20147,Friday,WD
3,07/06/2013,A,15679,Saturday,WE
4,07/06/2013,A,14688,Saturday,WE
3,07/07/2013,U,9649,Sunday,WE
4,07/07/2013,U,11880,Sunday,WE
3,07/08/2013,W,18910,Monday,WD
4,07/08/2013,W,20691,Monday,WD
3,07/09/2013,W,21489,Tuesday,WD
4,07/09/2013,W,22795,Tuesday,WD
3,07/10/2013,W,23014,Wednesday,WD
4,07/10/2013,W,24508,Wednesday,WD
3,07/11/2013,W,23025,Thursday,WD
4,07/11/2013,W,24176,Thursday,WD
3,07/12/2013,W,22385,Friday,WD
4,07/12/2013,W,23182,Friday,WD
3,07/13/2013,A,19219,Saturday,WE
4,07/13/2013,A,16977,Saturday,WE
3,07/14/2013,U,10335,Sunday,WE
4,07/14/2013,U,13324,Sunday,WE
3,07/15/2013,W,22070,Monday,WD
4,07/15/2013,W,23240,Monday,WD
3,07/16/2013,W,21628,Tuesday,WD
4,07/16/2013,W,22578,Tuesday,WD
3,07/17/2013,W,21271,Wednesday,WD
4,07/17/2013,W,22710,Wednesday,WD
3,07/18/2013,W,21102,Thursday,WD
4,07/18/2013,W,21792,Thursday,WD
3,07/19/2013,W,21764,Friday,WD
4,07/19/2013,W,22412,Friday,WD
3,07/20/2013,A,17633,Saturday,WE
4,07/20/2013,A,15037,Saturday,WE
3,07/21/2013,U,9654,Sunday,WE
4,07/21/2013,U,11789,Sunday,WE
3,07/22/2013,W,20690,Monday,WD
4,07/22/2013,W,21701,Monday,WD
3,07/23/2013,W,20675,Tuesday,WD
4,07/23/2013,W,22810,Tuesday,WD
3,07/24/2013,W,22080,Wednesday,WD
4,07/24/2013,W,22394,Wednesday,WD
3,07/25/2013,W,21271,Thursday,WD
4,07/25/2013,W,22929,Thursday,WD
3,07/26/2013,W,20216,Friday,WD
4,07/26/2013,W,22837,Friday,WD
3,07/27/2013,A,15305,Saturday,WE
4,07/27/2013,A,15623,Saturday,WE
3,07/28/2013,U,10214,Sunday,WE
4,07/28/2013,U,12124,Sunday,WE
3,07/29/2013,W,20599,Monday,WD
4,07/29/2013,W,21804,Monday,WD
3,07/30/2013,W,20557,Tuesday,WD
4,07/30/2013,W,21385,Tuesday,WD
3,07/31/2013,W,20408,Wednesday,WD
4,07/31/2013,W,22807,Wednesday,WD
3,08/01/2013,W,22214,Thursday,WD
4,08/01/2013,W,23995,Thursday,WD
3,08/02/2013,W,21043,Friday,WD
4,08/02/2013,W,23182,Friday,WD
3,08/03/2013,A,16792,Saturday,WE
4,08/03/2013,A,16600,Saturday,WE
3,08/04/2013,U,10564,Sunday,WE
4,08/04/2013,U,13093,Sunday,WE
3,08/05/2013,W,20695,Monday,WD
4,08/05/2013,W,22241,Monday,WD
3,08/06/2013,W,21554,Tuesday,WD
4,08/06/2013,W,21631,Tuesday,WD
3,08/07/2013,W,20168,Wednesday,WD
4,08/07/2013,W,21524,Wednesday,WD
3,08/08/2013,W,21063,Thursday,WD
4,08/08/2013,W,23177,Thursday,WD
3,08/09/2013,W,19578,Friday,WD
4,08/09/2013,W,24335,Friday,WD
3,08/10/2013,A,13982,Saturday,WE
4,08/10/2013,A,17852,Saturday,WE
3,08/11/2013,U,10060,Sunday,WE
4,08/11/2013,U,12475,Sunday,WE
3,08/12/2013,W,19695,Monday,WD
4,08/12/2013,W,21082,Monday,WD
3,08/13/2013,W,20387,Tuesday,WD
